gpa,family_income,is_orphan,is_displaced,region,high_school_type,has_verification,gender,faculty,Status
88.7,402.49,0,1,Banadir,Private,1,Male,CS,1
71.9,82.24,0,0,Jubaland,Public,1,Male,Eng,1
92.9,315.55,1,1,Koonfur Galbeed,Public,0,Female,Eng,0
84.9,549.88,0,0,Koonfur Galbeed,Public,1,Female,CS,1
54.7,77.49,0,0,Galmudug,Private,1,Male,Eng,1
98.8,367.42,0,1,Jubaland,Public,1,Male,Eng,1
88.1,104.51,0,0,Puntland,Private,1,Female,Medicine,1
89.3,72.03,0,0,Koonfur Galbeed,Public,1,Female,CS,1
56.4,68.6,1,0,Puntland,Private,0,Female,CS,1
72.5,143.45,0,0,Banadir,Public,1,Female,Agri,1
68.5,52.62,0,0,Jubaland,Public,1,Female,Eng,1
96.3,100.66,1,1,Somaliland,Private,1,Female,Agri,1
82.2,143.97,0,0,Jubaland,Private,1,Female,Eng,1
91.1,155.51,1,0,Koonfur Galbeed,Public,1,Male,Agri,1
72.2,91.7,0,0,Puntland,Public,1,Male,CS,1
61.4,118.85,0,1,Koonfur Galbeed,Public,1,Male,Medicine,1
77.7,86.33,0,0,Puntland,Private,1,Female,Eng,1
53.2,100.16,1,0,Somaliland,Public,0,Male,CS,1
91.4,265.58,1,1,Banadir,Private,1,Female,CS,1
81.6,146.26,0,1,Galmudug,Public,1,Female,Eng,1
87.9,295.79,0,1,Koonfur Galbeed,Private,0,Male,Agri,1
67.7,99.78,0,0,Koonfur Galbeed,Private,1,Male,Eng,1
98.5,54.91,0,0,Puntland,Public,0,Male,CS,1
94.7,188.83,1,0,Hirshabelle,Public,1,Female,Agri,1
88.9,276.39,1,1,Banadir,Private,1,Male,CS,1
59.7,67.99,1,0,Galmudug,Public,1,Male,CS,1
73.3,253.7,0,0,Galmudug,Public,1,Male,Agri,1
52.2,72.07,1,0,Puntland,Public,1,Male,Eng,1
57.7,114.61,0,1,Banadir,Public,1,Female,Agri,1
84.2,196.78,0,1,Banadir,Public,1,Female,Agri,1
87.2,68.25,1,0,Galmudug,Public,1,Male,Eng,1
98.4,225.57,0,1,Galmudug,Public,0,Female,CS,1
66.3,186.96,1,1,Banadir,Public,1,Female,Medicine,1
68.5,242.98,1,0,Jubaland,Public,1,Male,Agri,1
